"";"n";"t"
"elapsed";2;4,40999999999985
"elapsed1";2;4,56999999999971
"elapsed2";2;4,44000000000051
"elapsed3";3;5,13000000000011
"elapsed4";3;5,34000000000015
"elapsed5";3;5,21000000000004
"elapsed6";4;5,1899999999996
"elapsed7";4;5,21000000000004
"elapsed8";4;5,21999999999935
"elapsed9";5;5,5600000000004
"elapsed10";5;5,76000000000022
"elapsed11";5;5,65999999999985
"elapsed12";6;5,71999999999935
"elapsed13";6;5,77999999999975
"elapsed14";6;5,81999999999971
"elapsed15";7;5,86000000000058
"elapsed16";7;5,89000000000033
"elapsed17";7;5,69000000000051
"elapsed18";8;5,83999999999924
"elapsed19";8;5,82999999999993
"elapsed20";8;5,80000000000018
"elapsed21";9;6,64000000000033
"elapsed22";9;7,01000000000022
"elapsed23";9;6,82999999999993
"elapsed24";10;7,10000000000036
"elapsed25";10;7,01999999999953
"elapsed26";10;7,05000000000018
"elapsed27";11;7,27999999999975
"elapsed28";11;7,75
"elapsed29";11;7,39000000000033
"elapsed30";12;7,76000000000022
"elapsed31";12;7,42000000000007
"elapsed32";12;7,92000000000007
"elapsed33";13;7,96999999999935
"elapsed34";13;8,36000000000058
"elapsed35";13;8,14000000000033
"elapsed36";14;8,78999999999996
"elapsed37";14;8,72000000000025
"elapsed38";14;8,75
"elapsed39";15;9,30999999999949
"elapsed40";15;9,74000000000069
"elapsed41";15;9,30000000000018
"elapsed42";16;9,92000000000007
"elapsed43";16;9,92000000000007
"elapsed44";16;9,69999999999982
"elapsed45";17;10,6700000000001
"elapsed46";17;10,7800000000007
"elapsed47";17;10,4700000000003
"elapsed48";18;11,2299999999996
"elapsed49";18;11,1900000000005
"elapsed50";18;11,75
"elapsed51";19;12,5799999999999
"elapsed52";19;12,1299999999992
"elapsed53";19;11,8299999999999
"elapsed54";20;13,0600000000004
"elapsed55";20;12,7800000000007
"elapsed56";20;13,0699999999997
"elapsed57";21;13,21
"elapsed58";21;13,5199999999995
"elapsed59";21;13,5600000000004
"elapsed60";22;14,4200000000001
"elapsed61";22;14,4500000000007
"elapsed62";22;14,46
"elapsed63";23;15,5900000000001
"elapsed64";23;15,3800000000001
"elapsed65";23;15,1999999999998
"elapsed66";24;16,3899999999994
"elapsed67";24;16,0699999999997
"elapsed68";24;16,6399999999994
"elapsed69";25;16,9700000000003
"elapsed70";25;17,7800000000007
"elapsed71";25;17,0799999999999
"elapsed72";26;17,9800000000005
"elapsed73";26;17,7300000000005
"elapsed74";26;17,7300000000005
"elapsed75";27;19,21
"elapsed76";27;19,1099999999997
"elapsed77";27;19,29
"elapsed78";28;20,1999999999998
"elapsed79";28;19,8299999999999
"elapsed80";28;20,2300000000005
"elapsed81";29;21,2800000000007
"elapsed82";29;21,5799999999999
"elapsed83";29;21,1399999999994
"elapsed84";30;22,6599999999999
"elapsed85";30;22,6000000000004
"elapsed86";30;22,3200000000006
"elapsed87";31;23,5700000000006
"elapsed88";31;23,5299999999997
"elapsed89";31;23,6999999999998
"elapsed90";32;25,0699999999997
"elapsed91";32;25,3299999999999
"elapsed92";32;24,71
"elapsed93";33;27,2399999999998
"elapsed94";33;26,2799999999997
"elapsed95";33;26,0599999999995
"elapsed96";34;27,1499999999996
"elapsed97";34;27
"elapsed98";34;27,4299999999994
"elapsed99";35;28,5900000000001
"elapsed100";35;29,2800000000007
"elapsed101";35;28,3900000000003
"elapsed102";36;30,2599999999993
"elapsed103";36;30,5200000000004
"elapsed104";36;30,2199999999993
"elapsed105";37;31,4700000000003
"elapsed106";37;31,5500000000002
"elapsed107";37;31,4100000000008
"elapsed108";38;33,0999999999995
"elapsed109";38;33,2200000000003
"elapsed110";38;33,3299999999999
"elapsed111";39;34,21
"elapsed112";39;34,3299999999999
"elapsed113";39;34,6099999999997
"elapsed114";40;36,0699999999997
"elapsed115";40;36,1099999999997
"elapsed116";40;36,8599999999997
"elapsed117";41;37,29
"elapsed118";41;37,4200000000001
"elapsed119";41;37,4899999999998
"elapsed120";42;40,1599999999999
"elapsed121";42;42,2600000000002
"elapsed122";42;40,4700000000003
"elapsed123";43;41,8000000000002
"elapsed124";43;41,2699999999995
"elapsed125";43;41,9200000000001
"elapsed126";44;42,8200000000006
"elapsed127";44;43,1300000000001
"elapsed128";44;43,1900000000005
"elapsed129";45;46,4400000000005
"elapsed130";45;47,4499999999998
"elapsed131";45;47,0199999999995
"elapsed132";46;51,3500000000004
"elapsed133";46;52,1900000000005
"elapsed134";46;52,79
"elapsed135";47;49,3899999999994
"elapsed136";47;51,0299999999997
"elapsed137";47;53,8500000000004
"elapsed138";48;55,4799999999996
"elapsed139";48;50,880000000001
"elapsed140";48;52,3500000000004
"elapsed141";49;57,5100000000002
"elapsed142";49;65,5699999999997
"elapsed143";49;55,8899999999994
"elapsed144";50;59,2100000000009
"elapsed145";50;57,2999999999993
"elapsed146";50;60,7899999999991
"elapsed147";51;68,6900000000005
"elapsed148";51;66,5
"elapsed149";51;64,3099999999995
"elapsed150";52;66,8100000000013
"elapsed151";52;62,3299999999999
"elapsed152";52;61,1900000000005
"elapsed153";53;62,2199999999993
"elapsed154";53;63,3900000000012
"elapsed155";53;62,2000000000007
"elapsed156";54;64,7999999999993
"elapsed157";54;64,6200000000008
"elapsed158";54;66,8299999999999
"elapsed159";55;68,9200000000001
"elapsed160";55;69,8400000000001
"elapsed161";55;67,9099999999999
"elapsed162";56;73,3099999999995
"elapsed163";56;80,3799999999992
"elapsed164";56;73,7899999999991
"elapsed165";57;74,9500000000007
"elapsed166";57;73,3200000000015
"elapsed167";57;74,4300000000003
"elapsed168";58;79,5200000000004
"elapsed169";58;80,1900000000005
"elapsed170";58;78,4200000000001
"elapsed171";59;83,9500000000007
"elapsed172";59;95,5599999999995
"elapsed173";59;85,0599999999995
"elapsed174";60;86,6099999999988
"elapsed175";60;87,4400000000005
"elapsed176";60;87,9200000000001
"elapsed177";61;90,5300000000007
"elapsed178";61;88,9499999999989
"elapsed179";61;86,3799999999992
"elapsed180";62;94,2999999999993
"elapsed181";62;104,059999999999
"elapsed182";62;101,76
"elapsed183";63;127,84
"elapsed184";63;106,67
"elapsed185";63;106,059999999999
"elapsed186";64;102,360000000001
"elapsed187";64;103,49
"elapsed188";64;95,7199999999993
"elapsed189";65;96,369999999999
"elapsed190";65;96,0499999999993
"elapsed191";65;93,3599999999988
"elapsed192";66;95,4199999999983
"elapsed193";66;106,950000000001
"elapsed194";66;107
"elapsed195";67;111,389999999999
"elapsed196";67;110,17
"elapsed197";67;111,82
"elapsed198";68;114,27
"elapsed199";68;114,550000000001
"elapsed200";68;115,099999999999
"elapsed201";69;115,299999999999
"elapsed202";69;115,459999999999
"elapsed203";69;115,539999999999
"elapsed204";70;118,09
"elapsed205";70;118,440000000001
"elapsed206";70;118,620000000001
"elapsed207";71;120,389999999999
"elapsed208";71;119,68
"elapsed209";71;119,17
"elapsed210";72;119,25
"elapsed211";72;120,5
"elapsed212";72;122,73
"elapsed213";73;118,82
"elapsed214";73;125,139999999999
"elapsed215";73;127,58
"elapsed216";74;127,23
"elapsed217";74;128,379999999999
"elapsed218";74;132,25
"elapsed219";75;137,219999999999
"elapsed220";75;134,57
"elapsed221";75;131,280000000001
"elapsed222";76;136,369999999999
"elapsed223";76;138,93
"elapsed224";76;134,559999999999
"elapsed225";77;141,360000000001
"elapsed226";77;145,719999999998
"elapsed227";77;154,75
"elapsed228";78;147,989999999998
"elapsed229";78;139,170000000002
"elapsed230";78;138,970000000001
"elapsed231";79;150,529999999999
"elapsed232";79;157,650000000001
"elapsed233";79;151,150000000001
"elapsed234";80;155,529999999999
"elapsed235";80;164,859999999997
"elapsed236";80;151,830000000002
"elapsed237";81;154,119999999999
"elapsed238";81;176,690000000002
"elapsed239";81;167,09
"elapsed240";82;165,220000000001
"elapsed241";82;165,830000000002
"elapsed242";82;163,380000000001
"elapsed243";83;171,759999999998
"elapsed244";83;167,470000000001
"elapsed245";83;178,459999999999
"elapsed246";84;176,540000000001
"elapsed247";84;157,98
"elapsed248";84;156,43
"elapsed249";85;162,709999999999
"elapsed250";85;159,010000000002
"elapsed251";85;158,16
